Sample	total_raw	total_final	reads_removed	percentage_removed
CB10	56716318.0	54491487.0	2224831.0	3.9227352523130996
CB11	62476916.0	60533818.0	1943098.0	3.1101054988053507
CB12	56096542.0	53359932.0	2736610.0	4.8783933954431635
CB13	55101552.0	34778954.0	20322598.0	36.88207911094773
CB14	55029406.0	51263806.0	3765600.0	6.842886873974254
CB15	51670748.0	48108535.0	3562213.0	6.89406122009304
CB16	59532046.0	52841992.0	6690054.0	11.237735723042343
CB17	50784690.0	47396827.0	3387863.0	6.671032155557118
CB18	52281226.0	42186602.0	10094624.0	19.308315378832162
CB19	47172416.0	45437930.0	1734486.0	3.6769072841212966
CB20	46304116.0	44417581.0	1886535.0	4.074227440169682
CB21	53410832.0	49964344.0	3446488.0	6.452788453098803
CB23	60591220.0	5960871.0	54630349.0	90.16215385661486
CB24	54105322.0	52177799.0	1927523.0	3.5625386352935857
CB25	50281436.0	48141333.0	2140103.0	4.256248767437748
CB26	47969984.0	46400694.0	1569290.0	3.2713998820595815
CB27	59794936.0	56836021.0	2958915.0	4.9484374395851844
CB28	56163828.0	51776247.0	4387581.0	7.812111738537481
CB29	47097478.0	44707849.0	2389629.0	5.07379397257747
CB30	57846770.0	55841021.0	2005749.0	3.4673483065692343
CB31	47909686.0	45718816.0	2190870.0	4.572916633183528
CB32	50123246.0	47675005.0	2448241.0	4.884442240632221
CB33	44758892.0	41903952.0	2854940.0	6.378486759681183
CB34	51058294.0	47960611.0	3097683.0	6.066953588382722
CB35	49530906.0	47844511.0	1686395.0	3.404732794510159
CB36	44780414.0	41552583.0	3227831.0	7.208131215580098
CB37	42690586.0	41343332.0	1347254.0	3.155857359278226
CB42	41010108.0	39550122.0	1459986.0	3.560063777447257
CB43	52231448.0	49756889.0	2474559.0	4.737680257303991
CB44	46799312.0	45060474.0	1738838.0	3.71552043329184
CB45	51631554.0	49429822.0	2201732.0	4.26431480253335
CB46	49155924.0	47679810.0	1476114.0	3.0029218858748337
CB49	53423792.0	51265778.0	2158014.0	4.039424981289235
CB50	49843958.0	48179997.0	1663961.0	3.338340426336127
CB51	43052478.0	41768804.0	1283674.0	2.9816495115565704
CB52	46487208.0	44937372.0	1549836.0	3.3338977896887245
CB53	44017298.0	42410869.0	1606429.0	3.6495402330238442
CB54	49330794.0	47556189.0	1774605.0	3.5973574639808152
CB55	39659262.0	38434842.0	1224420.0	3.087349431767036
CB56	46297240.0	43626854.0	2670386.0	5.767916186796448
CB57	48064876.0	46461620.0	1603256.0	3.335608314062851
CB58	42560944.0	39677288.0	2883656.0	6.775357238316894
CB59	40170274.0	38842851.0	1327423.0	3.304490778429841
CB60	51870472.0	49957441.0	1913031.0	3.68809252400865
CB61	46971684.0	45094544.0	1877140.0	3.9963225504114352
CB63	45935058.0	42660475.0	3274583.0	7.128722902668372
CB64	58761050.0	56566468.0	2194582.0	3.7347562713736395
CB66	50723654.0	48783791.0	1939863.0	3.8243755073323387
CB67	49866854.0	46830224.0	3036630.0	6.0894757868623515
CB68	40544436.0	39168288.0	1376148.0	3.3941722607758065
CB69	47280474.0	45980569.0	1299905.0	2.7493484942642494
CB70	42651298.0	41463136.0	1188162.0	2.7857581262825812
CB71	49455448.0	47691166.0	1764282.0	3.5674168799360593
CB72	42263194.0	40823973.0	1439221.0	3.405376791919702
CB73	39668966.0	38536076.0	1132890.0	2.855859666218676
CB74	45107756.0	43807035.0	1300721.0	2.8835861398203892
CB75	47232786.0	45828799.0	1403987.0	2.972483986017678
CB76	46074698.0	43224730.0	2849968.0	6.185538101627927
CB77	43447416.0	42120803.0	1326613.0	3.0533760626869038
CB78	47961752.0	37671978.0	10289774.0	21.454124528228245
CB80	49752096.0	48027449.0	1724647.0	3.466481090565511
CB81	50496584.0	48567758.0	1928826.0	3.819715804934449
CB82	43506678.0	41982768.0	1523910.0	3.5027036539080276
CB83	44648506.0	43009241.0	1639265.0	3.6714890303384395
CB84	49668508.0	48053427.0	1615081.0	3.251720385883144
CB85	43235264.0	41419922.0	1815342.0	4.19875312892735
CB86	44912978.0	43354059.0	1558919.0	3.4709766963125896
CB87	42792068.0	41311664.0	1480404.0	3.45952899495299
CB88	46238308.0	43870554.0	2367754.0	5.120762636902717
CB89	49630466.0	47984694.0	1645772.0	3.316051878295884
CB90	52362370.0	50763908.0	1598462.0	3.052692229171445
CB91	74033422.0	71046585.0	2986837.0	4.034444065006207
CB92	45582934.0	44078742.0	1504192.0	3.29990166933967
CB93	50365836.0	48305437.0	2060399.0	4.090866276894521
CB94	42083076.0	40668558.0	1414518.0	3.361251444642497
CB95	43322812.0	41950893.0	1371919.0	3.166735806530749
CB96	48130198.0	46500181.0	1630017.0	3.3866825147904027
CB97	49376266.0	47213547.0	2162719.0	4.3800780723273
CB98	45860088.0	44251605.0	1608483.0	3.5073700687185774
CB99	54254362.0	50991455.0	3262907.0	6.014091548989185
DNAstandard-D6305	53041984.0	51212664.0	1829320.0	3.4488151876068587
HD10	47249060.0	45479751.0	1769309.0	3.7446438087868836
HD11	44769968.0	43138316.0	1631652.0	3.644523489496352
HD12	51349254.0	48776189.0	2573065.0	5.010910187711783
HD13	53109830.0	50075299.0	3034531.0	5.713689913901061
HD14	45226850.0	43260725.0	1966125.0	4.347251687880098
HD15	49629514.0	47893090.0	1736424.0	3.49877292773812
HD16	41915382.0	40371657.0	1543725.0	3.6829558179858646
HD17	48019296.0	46064784.0	1954512.0	4.070263753970903
HD18	44286316.0	42463611.0	1822705.0	4.1157295630550985
HD19	43434552.0	42069497.0	1365055.0	3.1427859552919992
HD20	47282980.0	45231321.0	2051659.0	4.339106799106148
HD21	46887764.0	45298452.0	1589312.0	3.3896092805790436
PC1	47665304.0	45893320.0	1771984.0	3.7175552263340226
